Dec 12 2016 11:49:51 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = fbryan, IP = 10.3.10.48, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 12 2016 14:9:27 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = blu, IP = 10.1.10.252, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 12 2016 14:35:49 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = edutra, IP = 10.2.10.77, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 12 2016 14:42:50 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = kpercy, IP = 10.1.10.216, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 12 2016 14:45:42 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = dtempesti, IP = 10.1.10.93, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 12 2016 14:54:1 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = rerde, IP = 10.2.10.99, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 12 2016 16:0:8 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = moh, IP = 10.1.10.211, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 12 2016 16:22:30 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = showser, IP = 10.1.10.147, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 12 2016 16:35:55 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = kosullivan, IP = 10.2.10.51, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 12 2016 16:36:57 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = mkemmerer, IP = 10.2.10.3, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 12 2016 17:42:24 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = djohnson, IP = 10.3.10.180, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 12 2016 17:54:7 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = swrappe, IP = 10.1.10.188, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 12 2016 21:22:53 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = fbryan, IP = 10.3.10.48, Session disconnected. Session type = TPsecOverNatT, Duration = 9h:33m:3s, Bytes xmt: 21549817, Bytes rcv: 3881794, Reason: Connection Lost
Dec 12 2016 22:43:03 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = blu, IP = 10.1.10.252, Session disconnected. Session type = IKE, Duration = 8h:33m:13s, Bytes xmt: 15317069, Bytes rcv: 739493, Reason: Connection Lost
Dec 12 2016 22:48:24 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = edutra, IP = 10.2.10.77, Session disconnected. Session type = SSL, Duration = 8h:12m:34s, Bytes xmt: 3585182, Bytes rcv: 256373, Reason: Connection Lost
Dec 13 2016 00:16:21 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = kpercy, IP = 10.1.10.216, Session disconnected. Session type = TPsecOverNatT, Duration = 9h:33m:31s, Bytes xmt: 3676785, Bytes rcv: 257654, Reason: Connection Lost
Dec 12 2016 23:01:41 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = dtempesti, IP = 10.1.10.93, Session disconnected. Session type = SSL, Duration = 8h:15m:51s, Bytes xmt: 4023826, Bytes rcv: 433404, Reason: Connection Lost
Dec 12 2016 23:28:31 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = rerde, IP = 10.2.10.99, Session disconnected. Session type = IKE, Duration = 8h:33m:41s, Bytes xmt: 243114, Bytes rcv: 35863, Reason: Connection Lost
