Time,EventCode,EventType,Type,ComputerName,LogName,RecordNumber
"2017-01-06T10:52:38.000-0400",26,4,Information,HOST0167,System,708266092
"2017-01-06T10:52:38.000-0400",40961,2,Warning,HOST0201,System,122435838
"2017-01-06T10:52:39.000-0400",628,8,SuccessAudit,"BUSDEV-007",Security,468983050
"2017-01-06T10:52:40.000-0400",7036,4,Information,HOST0167,System,884545017
"2017-01-06T10:52:42.000-0400",624,8,SuccessAudit,"BUSDEV-006",Security,216568644
"2017-01-06T10:53:38.000-0400",17,1,Error,HOST0167,System,498008787
"2017-01-06T10:53:39.000-0400",29,1,Error,HOST0167,System,51815048
"2017-01-06T10:53:39.000-0400",528,8,SuccessAudit,"BUSDEV-006",Security,78425220
"2017-01-06T10:53:40.000-0400",26,4,Information,HOST0167,System,602371443
"2017-01-06T10:54:37.000-0400",17,1,Error,HOST0167,System,787454124
"2017-01-06T10:54:38.000-0400",7036,4,Information,HOST0167,System,830924717
"2017-01-06T10:54:39.000-0400",40961,2,Warning,HOST0201,System,669761815
"2017-01-06T11:47:40.000-0400",552,8,SuccessAudit,"BUSDEV-007",Security,804571796
"2017-01-06T11:47:42.000-0400",537,16,FailureAudit,"BUSDEV-006",Security,337600318
"2017-01-06T11:48:37.000-0400",19,4,Information,"BUSDEV-008",System,678050783
"2017-01-06T11:48:37.000-0400",7036,4,Information,HOST0167,System,700751214
"2017-01-06T11:48:38.000-0400",644,8,SuccessAudit,"BUSDEV-002",Security,381978445
"2017-01-06T11:48:39.000-0400",29,1,Error,HOST0167,System,855252906
"2017-01-06T11:48:40.000-0400",26,4,Information,HOST0167,System,670514526
"2017-01-06T11:48:41.000-0400",17,1,Error,HOST0167,System,900702112
"2017-01-06T11:48:42.000-0400",4688,0,Information,"BUSDEV-001",Security,218337428
"2017-01-06T11:49:37.000-0400",40961,2,Warning,HOST0201,System,153040650
"2017-01-06T11:49:38.000-0400",4718,0,Information,"BUSDEV-002",Security,266153401
"2017-01-06T11:49:38.000-0400",4726,0,Information,"BUSDEV-005",Security,943744235
"2017-01-06T11:49:40.000-0400",540,8,SuccessAudit,"BUSDEV-001",Security,700980606
"2017-01-06T11:49:42.000-0400",35,4,Information,HOST0201,System,595792418
"2017-01-06T11:50:37.000-0400",26,4,Information,HOST0167,System,134179786
"2017-01-06T11:50:37.000-0400",29,1,Error,HOST0167,System,128405308
"2017-01-06T11:50:38.000-0400",7036,4,Information,HOST0167,System,411825914
"2017-01-06T11:50:39.000-0400",26,4,Information,HOST0167,System,295424476
"2017-01-06T11:50:39.000-0400",40961,2,Warning,HOST0201,System,816723691
"2017-01-06T11:50:42.000-0400",7036,4,Information,HOST0167,System,991038522
"2017-01-06T11:50:42.000-0400",35,4,Information,HOST0201,System,402909198
"2017-01-06T11:51:39.000-0400",40961,2,Warning,HOST0201,System,49088744
"2017-01-06T11:51:40.000-0400",17,1,Error,HOST0167,System,173785009
"2017-01-06T11:51:40.000-0400",35,4,Information,HOST0201,System,351490745
"2017-01-06T11:51:41.000-0400",4726,0,Information,"BUSDEV-002",Security,696305956
"2017-01-06T11:51:41.000-0400",17,1,Error,HOST0167,System,819794029
"2017-01-06T11:52:39.000-0400",29,1,Error,HOST0167,System,612494493
"2017-01-06T11:52:39.000-0400",628,8,SuccessAudit,"BUSDEV-007",Security,115806487
"2017-01-06T11:52:40.000-0400",4739,0,Information,"BUSDEV-006",Security,588647930
"2017-01-06T12:47:42.000-0400",4689,0,Information,"BUSDEV-006",Security,623316349
"2017-01-06T12:48:42.000-0400",540,8,SuccessAudit,"BUSDEV-008",Security,364441223
"2017-01-06T12:49:38.000-0400",29,1,Error,HOST0167,System,726870413
"2017-01-06T12:50:39.000-0400",40961,2,Warning,HOST0201,System,770435184
